tweet_id,retweet_count,favorite_count
671743150407421952,221,705
671744970634719232,710,1268
671763349865160704,834,1563
671768281401958400,457,1122
671789708968640512,3201,6621
671855973984772097,400,846
671866342182637568,451,1058
671874878652489728,513,1181
671879137494245376,612,1323
671882082306625538,1285,3256
671891728106971137,521,1233
671896809300709376,3875,7971
672068090318987265,471,1206
672082170312290304,339,884
672095186491711488,339,929
672125275208069120,1059,2239
672139350159835138,644,1630
672160042234327040,331,824
672169685991993344,340,958
672205392827572224,1059,2110
672222792075620352,193,737
672231046314901505,934,1703
672239279297454080,300,839
672245253877968896,143,637
672248013293752320,556,1624
672254177670729728,689,1342
672256522047614977,1418,2642
672264251789176834,309,1059
672267570918129665,567,1389
672272411274932228,3110,6020
672466075045466113,488,1268
672475084225949696,649,1363
672481316919734272,120,673
672482722825261057,550,1058
672488522314567680,401,1041
672523490734551040,152,588
672538107540070400,337,956
672591271085670400,174,674
672591762242805761,308,895
672594978741354496,570,1248
672604026190569472,369,1038
672609152938721280,360,1035
672614745925664768,540,1145
672622327801233409,449,1208
672640509974827008,292,920
672828477930868736,454,1169
672834301050937345,529,1228
672877615439593473,327,968
672884426393653248,781,1441
672898206762672129,391,849
672902681409806336,460,1284
672964561327235073,596,1332
672968025906282496,499,1246
672970152493887488,329,884
672975131468300288,834,1569
672980819271634944,939,1705
672984142909456390,507,1184
672988786805112832,267,917
672995267319328768,269,887
672997845381865473,664,1854
673148804208660480,582,1592
673213039743795200,776,2090
673240798075449344,659,1339
673270968295534593,335,1011
673295268553605120,2930,7044
673317986296586240,234,827
673320132811366400,7264,12600
673342308415348736,530,1193
673343217010679808,250,912
673345638550134785,1170,2348
673350198937153538,195,716
673352124999274496,503,1569
673355879178194945,531,1417
673359818736984064,623,1357
673363615379013632,283,968
673576835670777856,521,1297
673580926094458881,254,778
673583129559498752,333,1121
673612854080196609,670,1501
673636718965334016,336,1032
673656262056419329,219,681
673662677122719744,344,1182
673680198160809984,434,1286
673686845050527744,403,1350
673688752737402881,459,1185
673689733134946305,603,1633
673697980713705472,1812,3719
673700254269775872,528,1344
673705679337693185,379,1187
673707060090052608,363,1036
673708611235921920,267,1010
673709992831262724,246,791
673711475735838725,278,982
673715861853720576,1917,3313
673887867907739649,238,882
673906403526995968,1528,2977
673919437611909120,349,1104
673956914389192708,892,1845
674008982932058114,331,1128
674014384960745472,597,1467
674019345211760640,285,1064
674024893172875264,1142,1672
674036086168010753,191,804
674038233588723717,394,1036
674042553264685056,118,681
674045139690631169,596,1325
674051556661161984,458,1368
674053186244734976,1201,3098
674063288070742018,2026,5984
674075285688614912,262,936
674082852460433408,154,717
674255168825880576,505,1375
674262580978937856,421,1239
674265582246694913,782,1532
674269164442398721,213,859
674271431610523648,681,1464
674291837063053312,5451,13807
674318007229923329,483,1331
674372068062928900,297,806
674394782723014656,528,1419
674410619106390016,429,1135
674416750885273600,128,652
674422304705744896,500,1347
674436901579923456,363,1043
674447403907457024,335,1005
674468880899788800,1889,5876
674632714662858753,537,1412
674638615994089473,545,1588
674644256330530816,254,979
674646392044941312,455,1354
674664755118911488,227,861
674670581682434048,606,1518
674690135443775488,439,1080
674737130913071104,81,609
674739953134403584,359,1034
674743008475090944,507,1313
674752233200820224,430,1371
674754018082705410,411,1285
674764817387900928,219,745
674767892831932416,729,1710
674774481756377088,438,1040
674781762103414784,1114,1894
674788554665512960,195,761
674790488185167872,234,1036
674793399141146624,1019,2362
674800520222154752,798,2845
674805413498527744,335,804
674999807681908736,1033,2114
675003128568291329,433,1471
675006312288268288,209,920
675015141583413248,1105,2546
675047298674663426,298,995
675109292475830276,1053,2646
675111688094527488,232,900
675113801096802304,736,1835
675135153782571009,442,1225
675145476954566656,838,2024
675146535592706048,276,1113
675147105808306176,218,889
675149409102012420,1587,3526
675153376133427200,2406,5896
675166823650848770,1480,3350
675334060156301312,1208,2618
675349384339542016,2130,3719
675354435921575936,15714,30748
675362609739206656,212,999
675372240448454658,488,1596
675432746517426176,536,1440
675483430902214656,915,1743
675489971617296384,559,1218
675497103322386432,1211,2973
675501075957489664,5502,16279
675517828909424640,437,1224
675522403582218240,271,983
675531475945709568,358,1117
675534494439489536,384,1741
675706639471788032,88,616
675707330206547968,640,1874
675710890956750848,767,1785
675740360753160193,319,1113
675781562965868544,441,1539
675798442703122432,3227,9724
675820929667219457,224,994
675822767435051008,509,1438
675845657354215424,824,2153
675853064436391936,1205,2551
675870721063669760,531,1551
675878199931371520,1313,3956
675888385639251968,899,2256
675891555769696257,809,2018
675898130735476737,537,1527
676089483918516224,415,1246
676098748976615425,1331,2840
676101918813499392,1111,2694
676146341966438401,630,1827
676191832485810177,975,2164
676215927814406144,544,1648
676219687039057920,29305,72862
676237365392908289,267,1145
676263575653122048,510,1990
676430933382295552,320,1331
676440007570247681,620,1645
676470639084101634,4428,11073
676496375194980353,503,1449
676533798876651520,521,1787
676575501977128964,1057,2448
676582956622721024,260,1134
676588346097852417,738,2199
676603393314578432,360,1107
676606785097199616,411,1812
676613908052996102,190,1032
676617503762681856,904,2738
676776431406465024,1920,4767
676811746707918848,406,1362
676819651066732545,630,1736
676821958043033607,14698,21828
676864501615042560,666,1987
676897532954456065,689,2142
676936541936185344,4695,12156
676942428000112642,706,1971
676946864479084545,345,1655
676948236477857792,815,2055
676949632774234114,375,1242
676957860086095872,769,2138
676975532580409345,1016,2645
677187300187611136,866,2608
677228873407442944,1558,3394
677269281705472000,673,1885
677301033169788928,382,1175
677314812125323265,506,1576
677328882937298944,1430,3497
677331501395156992,223,1036
677334615166730240,269,1281
677530072887205888,217,1019
677547928504967168,3492,6628
677557565589463040,1098,2349
677565715327688705,437,1245
677573743309385728,663,2040
677644091929329666,766,1778
677662372920729601,897,1864
677673981332312066,1424,3177
677687604918272002,800,2389
677698403548192770,304,1180
677700003327029250,1372,3244
677716515794329600,930,2907
677895101218201600,1965,4600
677918531514703872,387,1281
678021115718029313,6000,13031
678255464182861824,348,1517
678278586130948096,5802,10940
678334497360859136,237,1243
678341075375947776,508,1654
678380236862578688,862,2328
678389028614488064,401,1790
678396796259975168,395,1529
678399652199309312,30284,76942
678410210315247616,1714,4029
678424312106393600,2422,5236
678446151570427904,1456,3842
678643457146150913,384,1965
678675843183484930,1392,2738
678740035362037760,1577,3589
678755239630127104,3115,6792
678764513869611008,445,1566
678767140346941444,1295,3388
678774928607469569,861,2697
678798276842360832,1098,3318
678800283649069056,857,2468
678969228704284672,433,1567
678991772295516161,1098,2188
679047485189439488,632,2157
679062614270468097,7670,16277
679111216690831360,2471,5733
679132435750195208,1108,2861
679148763231985668,981,2680
679158373988876288,7676,20458
679462823135686656,17937,30350
679475951516934144,614,2017
679503373272485890,1402,3056
679511351870550016,1209,3243
679527802031484928,690,2546
679530280114372609,1989,4597
679722016581222400,451,1605
679729593985699840,794,2086
679736210798047232,755,2015
679777920601223168,1049,3005
679828447187857408,13409,34914
679844490799091713,727,2285
679854723806179328,1172,2754
679862121895714818,591,2377
679877062409191424,623,1916
680070545539371008,822,2492
680085611152338944,8620,12366
680100725817409536,1313,3468
680115823365742593,866,2633
680130881361686529,900,2221
680145970311643136,1675,3480
680161097740095489,704,2246
